No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
115,thank you in palestinian arabic,30,29,0,$0,1,16,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
116,grandma in lebanese arabic,30,6,1,$0,1,21,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
117,how to say goodbye in lebanese,30,8,1,$0,1,20,https://www.thespokenarabic.com/blog/lebanese-greetings-101
118,lebanese arabic classes,30,7,1,$7.56,36,14,https://www.thespokenarabic.com/
119,lebanese language course,40,3,2,$16.81,47,22,https://www.thespokenarabic.com/
120,lebanese arabic course,30,2,4,$6.21,50,19,https://www.thespokenarabic.com/
121,what does kifak mean in arabic,30,6,1,$0,1,25,https://www.thespokenarabic.com/blog/lebanese-greetings-101
122,how are you in lebanese arabic,30,10,1,$0,1,25,https://www.thespokenarabic.com/blog/lebanese-greetings-101
123,lebanon arabic dialect,30,13,0,$0,5,25,https://www.thespokenarabic.com/blog/lebanese-arabic-vs-msa-whats-the-difference-and-which-one-should-you-learn
124,marhaba kifak,40,6,2,$0,1,14,https://www.thespokenarabic.com/blog/lebanese-greetings-101
125,uncle in lebanese,30,8,1,$0,1,16,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
126,lebanese terms of endearment,30,4,4,$0,1,17,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
127,marhaba or marhaban,30,37,0,$0,1,20,https://www.thespokenarabic.com/blog/lebanese-greetings-101
128,lebanese speaking,30,8,1,$0,9,31,https://www.thespokenarabic.com/
129,kifik in arabic,30,3,9,$0,1,30,https://www.thespokenarabic.com/blog/lebanese-greetings-101
130,lebanese arabic dialect,30,21,0,$0,5,35,https://www.thespokenarabic.com/
131,lebanese speaking french,30,48,0,$0,1,32,https://www.thespokenarabic.com/
132,marhaban in english,30,70,0,$0,1,28,https://www.thespokenarabic.com/blog/lebanese-greetings-101
133,my love in lebanese,30,22,0,$0,1,33,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
134,how to say how are you in lebanese,30,10,1,$0,1,22,https://www.thespokenarabic.com/blog/lebanese-greetings-101
135,kteer arabic,30,12,0,$0,1,22,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
136,response to marhaba,30,49,0,$0,1,21,https://www.thespokenarabic.com/blog/lebanese-greetings-101
137,learn lebanese,30,19,0,$3.96,83,31,https://www.thespokenarabic.com/
138,learning lebanese arabic,30,4,3,$12.38,55,24,https://www.thespokenarabic.com/
139,lebanese meaning slang,30,10,0,$0,1,28,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
